#OTU ID	A1-JM2s-2-2621739	A2-Joya3s-2-2621747	A3-J6r-2-2621805	A7-Cueva2s-2-2621837	A8-JM2r-2-2621845	A9-Q4r-2-2621903	A10-QM6r-2-2621911	A11-Cueva3r-2-2621919	A12-QM6s-2-2621927	B1-Base1s-2-2621740	B2-Joya2s-2-2621748	B3-JM3r-2-2621806	B8-JM1r-2-2621846	B9-Q3r-2-2621904	B10-QM5r-2-2621912	B11-Cueva2r-2-2621920	B12-QM2s-2-2621928	C1-Cueva5s-2-2621741	C3-JM4r-2-2621807	C9-Q2r-2-2621905	C10-QM4r-2-2621913	C11-Cueva1r-2-2621921	C12-Base3r-2-2621929	D1-Cueva4s-2-2621742	D3-JM6r-2-2621808	D8-J5r-2-2621848	D9-Q1r-2-2621906	D10-QM3r-2-2621914	D11-Joya9r-2-2621922	D12-Base1r-2-2621930	E1-Cueva3s-2-2621743	E2-Joya2r-2-2621801	E3-J1s-2-2621809	E8-J4r-2-2621849	E9-JM5r-2-2621907	E10-QM2r-2-2621915	E11-Joya8r-2-2621923	E12-Cueva5r-2-2621931	F1-Cueva1s-2-2621744	F2-Q3s-2-2621802	F3-J5s-2-2621810	F8-J3r-2-2621850	F9-QM1s-2-2621908	F10-QM1r-2-2621916	F11-Joya7r-2-2621924	F12-Cueva4r-2-2621932	G1-Joya9s-2-2621745	G2-Q1s-2-2621803	G3-JM1s-2-2621811	G8-J2r-2-2621901	G10-Q6r-2-2621917	G11-Joya3r-2-2621925	G12-Base3s-2-2621933	H1-Joya7s-2-2621746	H2-JM6s-2-2621804	H3-Joya8s-2-2621812	H8-J1r-2-2621902	H10-Q5r-2-2621918	H11-J3s-2-2621926	H12-Q6s-2-2621934	taxonomy
OTU1735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	149	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__; g__; s__
OTU1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavaria; s__
OTU1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	523	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__; s__
OTU1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__; g__; s__
OTU1741	0	0	0	0	1	0	0	0	90	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__; f__; g__; s__
OTU1742	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Hyalorbilia; s__
OTU1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Helvellaceae; g__Balsamia; s__
OTU1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	101	1	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Sordariomycetes; o__; f__; g__; s__
OTU1745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__; g__; s__
OTU1746	0	0	55	0	28	0	0	0	0	0	0	4	5	1	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__; f__; g__; s__
OTU1748	0	0	0	47	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__; g__; s__
OTU1749	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	130	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__; s__
OTU1750	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
OTU1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	86	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
OTU1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Chytridiomycota; c__Rhizophydiomycetes; o__Rhizophydiales; f__; g__; s__
OTU1755	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Thelephora; s__Thelephora atra
OTU1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
OTU1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	50	1	35	0	0	0	0	 k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__; g__; s__
