# Constructed from biom file																																																																				
#OTU ID	A1-JM2s-2-2621739	A2-Joya3s-2-2621747	A3-J6r-2-2621805	A7-Cueva2s-2-2621837	A8-JM2r-2-2621845	A9-Q4r-2-2621903	A10-QM6r-2-2621911	A11-Cueva3r-2-2621919	A12-QM6s-2-2621927	B1-Base1s-2-2621740	B2-Joya2s-2-2621748	B3-JM3r-2-2621806	B7-NEG1-2-2621838	B8-JM1r-2-2621846	B9-Q3r-2-2621904	B10-QM5r-2-2621912	B11-Cueva2r-2-2621920	B12-QM2s-2-2621928	C1-Cueva5s-2-2621741	C2-NEG3-2-2621749	C3-JM4r-2-2621807	C7-POS1-2-2621839	C8-NEG4-2-2621847	C9-Q2r-2-2621905	C10-QM4r-2-2621913	C11-Cueva1r-2-2621921	C12-Base3r-2-2621929	D1-Cueva4s-2-2621742	D2-POS3-2-2621750	D3-JM6r-2-2621808	D8-J5r-2-2621848	D9-Q1r-2-2621906	D10-QM3r-2-2621914	D11-Joya9r-2-2621922	D12-Base1r-2-2621930	E1-Cueva3s-2-2621743	E2-Joya2r-2-2621801	E3-J1s-2-2621809	E8-J4r-2-2621849	E9-JM5r-2-2621907	E10-QM2r-2-2621915	E11-Joya8r-2-2621923	E12-Cueva5r-2-2621931	F1-Cueva1s-2-2621744	F2-Q3s-2-2621802	F3-J5s-2-2621810	F8-J3r-2-2621850	F9-QM1s-2-2621908	F10-QM1r-2-2621916	F11-Joya7r-2-2621924	F12-Cueva4r-2-2621932	G1-Joya9s-2-2621745	G2-Q1s-2-2621803	G3-JM1s-2-2621811	G8-J2r-2-2621901	G9-POS2-2-2621909	G10-Q6r-2-2621917	G11-Joya3r-2-2621925	G12-Base3s-2-2621933	H1-Joya7s-2-2621746	H2-JM6s-2-2621804	H3-Joya8s-2-2621812	H8-J1r-2-2621902	H9-NEG2-2-2621910	H10-Q5r-2-2621918	H11-J3s-2-2621926	H12-Q6s-2-2621934	taxonomy
OTU1	0	0	0	4585	0	0	0	0	0	0	0	0	30	21360	0	41711	0	0	55691	19	0	0	23	0	0	0	0	0	0	0	52374	0	0	1205	0	0	0	0	0	122629	0	895	0	0	3069	150759	0	0	0	0	0	0	0	54715	0	0	0	0	1511	0	0	0	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Capnodiales; f__ Cladosporiaceae; g__ Cladosporium; s__
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	84707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Sebacinales; f__ Sebacinaceae; g__ Sebacina; s__
OTU4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Thelephorales; f__ Thelephoraceae; g__; s__
OTU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	t__myc; a__ecm; k__Fungi; p__ Ascomycota; c__ Pezizomycetes; o__ Pezizales; f__ Tuberaceae; g__ Tuber; s__
OTU6	0	0	0	0	0	90120	0	0	0	0	0	0	0	0	0	0	0	471	0	9	0	0	12	72794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3001	0	0	0	0	0	0	0	0	0	7	19435	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Russulales; f__ Russulaceae; g__ Russula; s__
OTU7	1235	0	176	0	0	12704	0	0	7362	0	0	10709	8	1393	6303	0	0	3228	0	7	0	0	6	35771	7562	0	0	0	131	0	0	1881	4135	0	0	0	0	2500	0	420	1589	0	0	0	10438	0	0	3077	14873	0	0	0	0	0	0	0	0	0	0	0	2054	0	0	13	0	0	8079	t__myc; a__ecm; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Mytilinidales; f__ Gloniaceae; g__ Cenococcum; s__ Cenococcum geophilum
OTU8	0	0	0	0	0	0	0	0	0	0	0	21532	13	2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Hygrophoraceae; g__ Cuphophyllus; s__ Cuphophyllus virgineus
OTU9	0	0	0	0	0	0	0	40395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Tricholomataceae; g__ Pseudobaeospora; s__
OTU10	0	0	0	420	0	0	0	0	0	0	0	0	90	0	0	0	93352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Gomphales; f__ Lentariaceae; g__ Lentaria; s__ Lentaria patouillardii
OTU11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	66932	42	0	0	0	0	0	25128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	61088	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Tricholomataceae; g__ Mycena; s__
